,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
367,,71.0,Middle School,367.0,05:48,3,10,0,28,23, 5:47,,AL,16.0,,10-0726,Middle School,10,0,24,25, 5:44,,11,1,27,23, 5:26,
368,,70.0,Middle School,368.0,04:04,3,8,0,30,12, 3:17,,RI,11.0,,10-2848,Middle School,15,0,19,37, 4:04,,11,0,27,21, 2:36,
369,,70.0,Middle School,369.0,05:04,3,9,0,29,14, 4:41,,HI,16.0,,10-4683,Middle School,5,1,29,7, 3:11,,17,0,21,49, 5:04,
370,,70.0,Middle School,370.0,04:37,3,11,0,27,27, 1:47,,AL,17.0,,10-0884,Middle School,6,0,28,13, 0:53,,12,0,26,30, 1:38,
371,,70.0,Middle School,371.0,05:31,3,15,0,23,39, 5:25,,OK,2.0,,10-4422,Middle School,3,0,31,7, 5:29,,13,0,25,24, 4:28,
372,,70.0,Middle School,372.0,04:58,3,9,0,29,32, 4:58,,RI,12.0,,10-3941,Middle School,2,0,32,9, 4:58,,9,0,29,29, 4:32,
373,,70.0,Middle School,373.0,05:57,3,14,0,24,26, 5:57,,AZ,8.0,,10-2724,Middle School,7,0,27,18, 5:57,,15,1,23,26, 5:57,
374,,69.0,Middle School,374.0,05:38,3,0,0,38,0, 3:00,,TX,46.0,,10-2440,Middle School,12,0,22,34, 5:37,,16,0,22,35, 5:34,
375,,69.0,Middle School,375.0,05:45,3,8,0,30,19, 2:00,,VA,31.0,,10-4834,Middle School,4,0,30,10, 1:10,,14,0,24,40, 2:33,
376,,68.0,Middle School,376.0,05:39,3,8,0,30,22, 5:30,,CA,78.0,,10-4895,Middle School,9,1,25,21, 5:38,,12,0,26,25, 5:39,
377,,68.0,Middle School,377.0,04:28,3,11,2,27,18, 4:26,,FL,10.0,,10-4502,Middle School,10,2,24,12, 4:27,,10,0,28,38, 4:26,
378,,68.0,Middle School,378.0,05:47,3,5,0,33,14, 5:41,,SC,12.0,,10-4780,Middle School,5,0,29,13, 5:44,,14,0,24,41, 5:46,
